Fundamental Duties were added to the Constitution by the 44th Amendment. | Invalid | 1 | Fundamental Duties were added by the 42nd Constitutional Amendment Act, 1976, not the 44th Amendment.
There are currently eleven Fundamental Duties listed under Article 51A. | Valid | 0 | Initially ten duties were added by the 42nd Amendment; the 86th Amendment added the eleventh duty (education of children).
Fundamental Duties are enforceable by courts like Fundamental Rights. | Invalid | 1 | Fundamental Duties are non-justiciable; courts cannot directly enforce them, unlike Fundamental Rights which are enforceable under Article 32.
Article 51A(a) requires citizens to respect the Constitution, National Flag, and National Anthem. | Valid | 0 | Article 51A(a) explicitly states that every citizen shall abide by the Constitution and respect its ideals, institutions, the National Flag, and the National Anthem.
The duty to protect sovereignty, unity, and integrity of India applies only to government officials. | Invalid | 1 | Article 51A(b) applies to every citizen, not only government officials; all citizens must uphold and protect sovereignty, unity, and integrity.
Article 51A(c) imposes a duty on citizens to defend the country and render national service when called upon. | Valid | 0 | Article 51A(c) requires every citizen to defend the country and render national service when called upon to do so.
Article 51A(d) encourages citizens to promote harmony and brotherhood while respecting religious and linguistic diversity. | Valid | 0 | Article 51A(d) specifically mentions promoting harmony and common brotherhood transcending religious, linguistic, regional, or sectional diversities.
The duty to renounce practices derogatory to women is found in Article 51A(f). | Invalid | 1 | Article 51A(e) deals with renouncing practices derogatory to the dignity of women; Article 51A(f) deals with preserving cultural heritage.
Article 51A(g) requires citizens to protect the environment but does not mention compassion for animals. | Invalid | 1 | Article 51A(g) includes both protection of environment and compassion for living creatures (animals).
Developing scientific temper and humanism is a Fundamental Duty under Article 51A(h). | Valid | 0 | Article 51A(h) directs citizens to develop scientific temper, humanism, and the spirit of inquiry and reform.
The duty to safeguard public property and abjure violence is optional for citizens. | Invalid | 1 | Article 51A(i) is a mandatory Fundamental Duty; citizens must safeguard public property and abjure violence.
Article 51A(j) encourages citizens to strive for excellence in all spheres of individual and collective activity. | Valid | 0 | Article 51A(j) states that every citizen shall strive towards excellence in all spheres of individual and collective activity.
Article 51A(k) imposes a duty only on the State to provide education, not on parents. | Invalid | 1 | Article 51A(k) imposes the duty on parents or guardians to provide education opportunities for children aged 6-14; the State's duty is under Article 21A.
Fundamental Duties are absolute and cannot be restricted or modified. | Invalid | 1 | Fundamental Duties are moral obligations; they can be supplemented by legislation. Parliament may enact laws to enforce them, but the duties themselves are guidelines.
The 86th Amendment added the duty relating to environmental protection. | Invalid | 1 | The 86th Amendment added the duty on parents to provide education (Article 51A(k)); environmental protection (Article 51A(g)) was added by the 42nd Amendment.
Fundamental Duties apply only to citizens of India, not to non-citizens. | Valid | 0 | Article 51A explicitly states that these duties are of "every citizen", unlike Fundamental Rights which apply to all persons in some cases.
A citizen can be punished directly for violating a Fundamental Duty even without any specific law. | Invalid | 1 | Fundamental Duties are non-justiciable; punishment can only follow if Parliament enacts a law making a particular act punishable (e.g., disrespect to national anthem under the Prevention of Insults to National Honour Act).
The duty to preserve cultural heritage under Article 51A(f) includes protecting historical monuments. | Valid | 0 | Preserving rich heritage of Indian culture includes protection of monuments, traditions, art, and literature.
Fundamental Duties were part of the original Constitution as adopted in 1950. | Invalid | 1 | The original Constitution (1950) did not contain Fundamental Duties; they were added in 1976 by the 42nd Amendment.
Courts may refer to Fundamental Duties while interpreting laws even though the duties are non-justiciable. | Valid | 0 | Courts have used Fundamental Duties as guiding principles to interpret constitutional provisions and uphold reasonable restrictions on Fundamental Rights.
