What does Article 1 of the Constitution of India describe India as? | A Federation of States, A Union of States, A Confederation of States, A Unitary State | 1 | Article 1(1) states: "India, that is Bharat, shall be a Union of States."
Which Article of the Constitution deals with the admission or establishment of new states? | Article 1, Article 2, Article 3, Article 4 | 1 | Article 2 empowers Parliament to admit new states into the Union or establish new states on such terms as it thinks fit.
Under which Article can Parliament reorganize existing states by altering boundaries or names? | Article 1, Article 2, Article 3, Article 4 | 2 | Article 3 gives Parliament power to form new states, increase/decrease area, alter boundaries, or change names of states.
What does Article 4 provide for? | Admission of new states, Reorganization of states only, Supplemental and incidental provisions for laws under Articles 2 and 3, Citizenship rules | 2 | Article 4 allows Parliament to include supplemental, incidental, and consequential provisions in laws made under Articles 2 and 3, avoiding separate constitutional amendments.
Which case held that cession of Indian territory requires a constitutional amendment under Article 368? | S.R. Bommai case, Kesavananda Bharati case, Berubari Union case, Golaknath case | 2 | In Berubari Union Case (1960), the Supreme Court held that cession of territory cannot be done by executive action alone and requires constitutional amendment.
India is described as a "Union of States" rather than a "Federation" because: | States have right to secede, The Union is indestructible and states cannot secede, India is a unitary country, States are more powerful than centre | 1 | The framers used "Union" to emphasize that India is an indestructible union; states may be reorganized but have no right to secede.
Which of the following is NOT a component of the territory of India under Article 1(3)? | States, Union Territories, Acquired territories, Autonomous regions within a state | 3 | Article 1(3) provides that territory of India comprises states, union territories, and any territory that may be acquired. Autonomous regions are not a separate category.
What is the primary requirement for citizenship under Article 5 at the commencement of the Constitution? | Birth in India, Parent born in India, Domicile in India, Residence for five years | 2 | Article 5 requires that a person has domicile in India and satisfies any one of three conditions (birth, parent's birth, or five years' residence).
A person who migrated from Pakistan to India after 19 July 1948 could become a citizen under Article 6 by: | Automatic citizenship, Registration by government and residence for six months, Living in India for ten years, Marriage to an Indian citizen | 1 | For migration after 19 July 1948, the person needed registration by the government and residence in India for six months.
Under Article 7, a person who migrated from India to Pakistan after 1 March 1947: | Remains an Indian citizen, Loses Indian citizenship but can regain if returns with permit, Automatically becomes Pakistani citizen, Retains dual citizenship | 1 | Article 7 provides that such persons are not citizens of India, but if they return under a permit for resettlement, they may become citizens.
Which Article prohibits dual citizenship by stating that voluntary acquisition of foreign citizenship ends Indian citizenship? | Article 8, Article 9, Article 10, Article 11 | 1 | Article 9 provides that a person shall not be a citizen of India if he voluntarily acquires citizenship of a foreign country.
Who has the power to regulate citizenship under the Constitution? | President of India, Supreme Court, Parliament, State Legislatures | 2 | Article 11 gives Parliament power to make laws relating to citizenship. Parliament enacted the Citizenship Act, 1955.
Which of the following is NOT a method of acquiring citizenship under the Citizenship Act, 1955? | By birth, By descent, By nomination, By naturalization | 2 | The five methods are: birth, descent, registration, naturalization, and incorporation of territory. Nomination is not a method.
What does "single citizenship" in India mean? | A person can be citizen of both India and a state, A person is citizen of India only and not of individual states, Dual citizenship is allowed with Commonwealth countries, States can grant separate citizenship | 1 | India follows single citizenship – every person is a citizen of India, not of individual states, promoting national unity.
Under Article 8, a person of Indian origin residing outside India becomes a citizen by: | Automatic birth, Registration at an Indian diplomatic or consular office, Naturalization after ten years, Descent from a grandparent only | 1 | Article 8 requires such a person to register himself as a citizen at an Indian diplomatic or consular office.
Which Article ensures that laws made under Articles 2 and 3 are not considered constitutional amendments under Article 368? | Article 4, Article 5, Article 368 itself, Article 1 | 0 | Article 4 specifically provides that laws made under Articles 2 and 3 shall not be deemed amendments of the Constitution under Article 368.
What is the meaning of "domicile" for citizenship under Article 5? | Temporary residence for work, Permanent home with intention to reside permanently, Birthplace only, Citizenship of a state | 1 | Domicile means permanent home, involving residence in India and intention to remain permanently.
Which of the following statements about Union Territories is correct? | They have the same autonomy as states, They are directly administered by the central government, They cannot have legislatures, They are not part of India | 1 | Union territories are administered by the central government through administrators or Lieutenant Governors; some (e.g., Delhi, Puducherry) have legislatures with limited autonomy.
Under Article 3, before introducing a Bill to reorganize a state, the President must: | Obtain consent of the state legislature, Refer the Bill to the Supreme Court, Recommend the introduction of the Bill, Declare an emergency | 2 | A Bill under Article 3 cannot be introduced without prior recommendation of the President.
The Citizenship Act, 1955 provides for loss of citizenship through which three modes? | Renunciation, termination, and deprivation | Renunciation, naturalization, and registration | Termination, birth, and descent | Deprivation, renunciation, and incorporation | 0 | The three modes are renunciation (voluntary surrender), termination (acquiring foreign citizenship), and deprivation (government cancellation for fraud, disloyalty, etc.).
