Fundamental Rights are absolute and cannot be restricted under any circumstances. | Invalid | 1 | Fundamental Rights are not absolute; the Constitution allows reasonable restrictions in the interest of public order, morality, security, etc., as specified in each Article.
Article 12 defines "State" only to include the central and state governments, not local authorities. | Invalid | 1 | Article 12 includes local authorities (municipalities, panchayats, etc.) and other authorities under government control, in addition to central and state governments.
Under Article 13, pre-constitutional laws inconsistent with Fundamental Rights become completely void and can never revive. | Invalid | 1 | Under the doctrine of eclipse, pre-constitutional laws become dormant (not completely void) and may revive if the inconsistency is removed by a constitutional amendment.
Article 14 prohibits arbitrariness and requires state action to be reasonable. | Valid | 0 | The Supreme Court has held that arbitrariness is antithetical to equality; any arbitrary state action violates Article 14.
Article 15 allows the State to make special provisions for women and children without violating equality. | Valid | 0 | Article 15(3) permits the State to make special provisions for women and children as a protective measure.
Article 16(4) allows reservation in public employment only for economically weaker sections, not for backward classes. | Invalid | 1 | Article 16(4) allows reservation for socially and educationally backward classes (including SC/ST) that are not adequately represented; EWS reservation is under Article 16(6).
Article 17 declares that untouchability is abolished, but its practice is not a punishable offence. | Invalid | 1 | Article 17 itself states that enforcement of any disability arising out of untouchability shall be an offence punishable by law; the Protection of Civil Rights Act implements this.
The freedom of assembly under Article 19(1)(b) includes the right to assemble with arms. | Invalid | 1 | Article 19(1)(b) guarantees freedom to assemble peacefully without arms. Armed assembly is not protected.
Article 20(2) prohibits double jeopardy, meaning a person cannot be prosecuted and punished for the same offence more than once. | Valid | 0 | Article 20(2) provides that no person shall be prosecuted and punished for the same offence more than once.
Article 21 originally had a narrow interpretation, but was expanded by the Supreme Court to include many rights like privacy, livelihood, and clean environment. | Valid | 0 | Initially interpreted narrowly in A.K. Gopalan case, Article 21 was expansively interpreted in Maneka Gandhi and subsequent cases to include dignity, privacy, livelihood, etc.
Article 21A makes education a fundamental right for all citizens up to the age of 18 years. | Invalid | 1 | Article 21A provides free and compulsory education for children aged 6 to 14 years (elementary education), not up to 18.
Under Article 22, a person arrested under ordinary law has no right to consult a lawyer. | Invalid | 1 | Article 22(1) expressly provides the right to consult and be defended by a legal practitioner of the person's choice.
Article 23 prohibits forced labour but allows compulsory service for public purposes without discrimination. | Valid | 0 | Article 23 prohibits forced labour but permits the State to impose compulsory service for public purposes (e.g., military conscription), provided no discrimination is made.
Article 24 prohibits employment of children below 14 years in all occupations, including non-hazardous ones. | Invalid | 1 | Article 24 specifically prohibits employment in hazardous industries (factories, mines, etc.). It does not ban all non-hazardous work, though other laws may regulate it.
Article 25 guarantees freedom of religion to citizens only, not to non-citizens. | Invalid | 1 | Article 25 applies to "all persons", not only citizens. Foreigners also enjoy freedom of religion in India.
Article 28 allows religious instruction in wholly State-funded educational institutions. | Invalid | 1 | Article 28(1) provides that no religious instruction shall be provided in any educational institution wholly maintained out of State funds.
Article 29(2) prohibits denial of admission to educational institutions maintained by the State on grounds of religion, race, caste, or language. | Valid | 0 | Article 29(2) ensures that no citizen is denied admission to State-maintained educational institutions based on these grounds.
Article 32 allows individuals to directly approach the Supreme Court only after exhausting all other remedies. | Invalid | 1 | Article 32 is a fundamental right itself; a person can directly approach the Supreme Court for enforcement of Fundamental Rights without needing to exhaust other remedies.
The writ of Mandamus is issued to prevent a lower court from exceeding its jurisdiction. | Invalid | 1 | Prohibition is issued to prevent a lower court from exceeding jurisdiction; Mandamus commands a public authority to perform its duty.
Under Article 33, Parliament cannot modify Fundamental Rights for members of the armed forces. | Invalid | 1 | Article 33 expressly empowers Parliament to restrict or modify Fundamental Rights for armed forces, police, and other forces to ensure discipline.
