Directive Principles of State Policy are enforceable by courts. | Invalid | 1 | Article 37 explicitly states that DPSP are not enforceable by any court, though they are fundamental in governance.
Article 37 declares that DPSP are fundamental in governance and it is the duty of the State to apply them in making laws. | Valid | 0 | Article 37 says the provisions of Part IV are not enforceable but are fundamental in governance, and the State shall apply them in law-making.
The definition of "State" for DPSP under Article 36 is different from the definition under Article 12 for Fundamental Rights. | Invalid | 1 | Article 36 states that "State" has the same meaning as in Part III, i.e., the definition under Article 12.
Socialist principles under DPSP aim to establish economic justice and reduce inequality. | Valid | 0 | Articles 38, 39, 39A, 41, 42, 43, and 47 focus on economic justice, welfare state, and reducing inequality.
Article 38 requires the State to minimize inequalities in income, status, facilities, and opportunities. | Valid | 0 | Article 38(2) specifically directs the State to minimize inequalities in income, status, facilities, and opportunities.
Article 39(b) directs that ownership and control of material resources should be concentrated in a few hands. | Invalid | 1 | Article 39(b) says that ownership and control of material resources should be distributed to serve the common good, not concentrated.
Article 39A provides for free legal aid to ensure that no citizen is denied justice due to economic disability. | Valid | 0 | Article 39A directs the State to provide free legal aid and promote equal justice.
Article 40 directing the organization of village panchayats is a Gandhian principle. | Valid | 0 | Article 40 reflects Mahatma Gandhi's idea of village republics and local self-government.
Article 44 on Uniform Civil Code is a Socialist principle. | Invalid | 1 | Article 44 (Uniform Civil Code) is classified as a Liberal-Intellectual principle, not Socialist.
Article 48A on environment protection was added by the 44th Amendment. | Invalid | 1 | Article 48A was added by the 42nd Constitutional Amendment, not the 44th.
Article 50 directs separation of judiciary from executive to ensure judicial independence. | Valid | 0 | Article 50 requires the State to separate the judiciary from the executive in public services.
Article 51 on international peace is a Gandhian principle. | Invalid | 1 | Article 51 is classified as a Liberal-Intellectual principle, reflecting international cooperation and peace.
In Champakam Dorairajan case (1951), the Supreme Court held that Directive Principles prevail over Fundamental Rights. | Invalid | 1 | In Champakam Dorairajan, the Court held that Fundamental Rights prevail over DPSP because DPSP are non-justiciable.
The Kesavananda Bharati case held that Fundamental Rights and Directive Principles are complementary and both part of the basic structure. | Valid | 0 | The Supreme Court in Kesavananda Bharati (1973) stated that harmony between Fundamental Rights and DPSP is essential to the basic structure.
Directive Principles impose negative obligations on the State, while Fundamental Rights impose positive obligations. | Invalid | 1 | Fundamental Rights impose negative obligations (State shall not do certain things), while DPSP impose positive obligations (State shall do certain things).
Article 41 directs the State to provide the right to work, education, and public assistance in certain cases. | Valid | 0 | Article 41 requires the State to secure the right to work, education, and public assistance for unemployment, old age, sickness, etc.
Article 43 on living wage is a Liberal-Intellectual principle. | Invalid | 1 | Article 43 (living wage and cottage industries) is classified as a Gandhian principle, not Liberal-Intellectual.
Article 46 on promotion of interests of SC/ST is a Socialist principle. | Invalid | 1 | Article 46 is considered a Gandhian principle because it focuses on weaker sections and upliftment.
The State can implement DPSP even if it violates Fundamental Rights, as DPSP are more important. | Invalid | 1 | The State cannot violate Fundamental Rights while implementing DPSP; courts have held that Fundamental Rights are enforceable and must be balanced with DPSP.
Article 45 originally dealt with free and compulsory education up to age 14, but after the 86th Amendment it now deals with early childhood care. | Valid | 0 | The 86th Amendment inserted Article 21A for free education up to 14 and modified Article 45 to focus on early childhood care for children below six.
