India is described as a "Federation of States" in the Constitution. | Invalid | 1 | Article 1 uses the term "Union of States" deliberately to indicate an indestructible Union, not a federation formed by agreement.
States in India have the right to secede from the Union. | Invalid | 1 | The Constitution does not grant any state the right to secede; the Union is indestructible, though states may be reorganized.
Article 2 of the Constitution deals with the admission or establishment of new states from outside territory. | Valid | 0 | Article 2 empowers Parliament to admit new states into the Union or establish new states on such terms as it thinks fit.
Parliament can alter the boundaries of a state only with the consent of that state's legislature. | Invalid | 1 | Under Article 3, Parliament has power to alter boundaries without state consent; state legislature is consulted but its opinion is not binding.
Article 4 provides that laws made under Articles 2 and 3 are considered constitutional amendments under Article 368. | Invalid | 1 | Article 4 expressly states that such laws shall not be deemed amendments of the Constitution under Article 368.
The Berubari Union Case (1960) held that acquisition of territory requires a constitutional amendment. | Invalid | 1 | The Berubari case held that cession of territory requires amendment, but acquisition can be done by executive action.
India follows a system of dual citizenship where a person can be citizen of both India and a state. | Invalid | 1 | India follows single citizenship – every person is a citizen of India only, not of individual states.
Under Article 5, a person must have domicile in India and satisfy one of three conditions to be a citizen at commencement. | Valid | 0 | Article 5 requires domicile plus either birth in India, parent born in India, or five years' residence before commencement.
A person who migrated from Pakistan to India before 19 July 1948 automatically became an Indian citizen. | Valid | 0 | Under Article 6, such persons became citizens automatically if they or their parents/grandparents were born in India and they were ordinarily resident after migration.
A person who voluntarily acquires citizenship of the United States can still remain an Indian citizen. | Invalid | 1 | Article 9 provides that voluntary acquisition of foreign citizenship ends Indian citizenship; India does not permit dual citizenship.
Parliament has no power to regulate citizenship; only the President can grant citizenship. | Invalid | 1 | Article 11 gives Parliament the power to make laws relating to citizenship; Parliament enacted the Citizenship Act, 1955.
Citizenship by naturalization is available only to persons of Indian origin. | Invalid | 1 | Naturalization is available to foreigners who satisfy conditions such as residence, good character, and intention to reside permanently.
The territory of India under Article 1(3) includes only states and union territories, not acquired territories. | Invalid | 1 | Article 1(3) specifically includes "any territory that may be acquired" as part of the territory of India.
Article 8 allows persons of Indian origin residing outside India to become citizens by registration at an Indian embassy. | Valid | 0 | Article 8 provides that such persons shall be deemed citizens if they register at an Indian diplomatic or consular office.
Under Article 7, a person who migrated from India to Pakistan after 1 March 1947 can never become an Indian citizen. | Invalid | 1 | Article 7 provides an exception: if such person returns to India under a permit for resettlement, they may become a citizen.
The Citizenship Act, 1955 provides for Overseas Citizenship of India (OCI) which is full dual citizenship. | Invalid | 1 | OCI is not full citizenship; it provides limited benefits like visa-free travel and residence but no voting or constitutional office rights.
Article 3 allows Parliament to change the name of a state by ordinary law. | Valid | 0 | Article 3 specifically permits Parliament to change the name of any state by law, without requiring constitutional amendment.
The procedure under Article 3 requires the President to refer the Bill to the State Legislature, and the state's consent is mandatory. | Invalid | 1 | State Legislature is consulted and may express views, but its consent is not mandatory; Parliament can proceed even if the state disagrees.
A person born in India to foreign parents automatically acquires citizenship by birth under all circumstances. | Invalid | 1 | Citizenship by birth rules have conditions relating to parents' citizenship; not all persons born in India automatically acquire citizenship.
The term "India, that is Bharat" in Article 1 gives preference to the name "India" over "Bharat". | Invalid | 1 | The Constitution uses both names without preference; both are official and represent historical continuity and modern identity.
