The Regulating Act of 1773 established a Supreme Court at Calcutta. | Valid, Invalid | 0 | The Act established the Supreme Court in 1774 with a Chief Justice and three judges.
Pitt's India Act 1784 completely abolished the East India Company's commercial activities. | Valid, Invalid | 1 | The Act separated political and commercial functions but did not abolish Company's trade; Company continued commerce while Crown controlled politics.
The Charter Act of 1853 renewed the East India Company's rule for another 20 years. | Valid, Invalid | 1 | Unlike earlier Charter Acts, the 1853 Act did not renew the Company's rule for a fixed period, indicating Parliament intended to reconsider governance.
The Government of India Act 1858 introduced the office of Viceroy, with Lord Canning as the first Viceroy. | Valid, Invalid | 0 | Lord Canning became the first Viceroy after the Act transferred power from Company to Crown.
The Indian Councils Act 1892 allowed members to vote on the budget. | Valid, Invalid | 1 | Members could discuss the budget and ask questions but were not allowed to vote on it.
Dyarchy under the Government of India Act 1919 gave full responsible government to provinces. | Valid, Invalid | 1 | Dyarchy gave only partial responsible government; reserved subjects remained under Governor's control.
The Federal Court established in 1937 had the power to hear appeals directly from lower courts without any further appeal. | Valid, Invalid | 1 | Appeals could still be made to the Judicial Committee of the Privy Council in England.
The Constituent Assembly first met on 9 December 1946 with Dr. Rajendra Prasad as permanent chairman. | Valid, Invalid | 1 | Dr. Sachchidananda Sinha was temporary chairman; Dr. Rajendra Prasad was elected permanent president later.
The Objective Resolution moved by Jawaharlal Nehru later became the basis of the Preamble of the Indian Constitution. | Valid, Invalid | 0 | The resolution laid down guiding principles like sovereignty, justice, liberty, and equality.
The Indian Constitution borrowed the concept of judicial review from the Irish Constitution. | Valid, Invalid | 1 | Judicial review was inspired by the United States Constitution.
The Nand Kumar case led to clearer distribution of powers between executive and judiciary under the Regulating Act. | Valid, Invalid | 0 | The case exposed defects and showed the need for clearer distribution, though not immediately fixed.
The Charter Act 1813 allowed Christian missionaries to enter India for the first time. | Valid, Invalid | 0 | The Act permitted missionaries to promote education and religious activities.
The Government of India Act 1935 introduced provincial autonomy by abolishing dyarchy in provinces. | Valid, Invalid | 0 | The Act gave provinces independent authority and responsible government, though Governors retained special powers.
The Indian Independence Act 1947 abolished the office of the Secretary of State for India. | Valid, Invalid | 0 | The Act ended British administrative control, including the Secretary of State's office.
The Constitution of India was adopted on 26 January 1950. | Valid, Invalid | 1 | It was adopted on 26 November 1949 and enforced on 26 January 1950.
